infeatures,outfeatures,weight_type,batch_size,seq_len,tput,num_tokens
8192,1024,marlin,16,1,738275.597505318,16
8192,1024,marlin,32,1,863039.7946104499,32
8192,1024,marlin,48,1,1023012.8313549261,48
8192,1024,marlin,64,1,1128964.8075379995,64
8192,1024,marlin,1,16,735983.865754937,16
8192,1024,marlin,1,64,1128553.6125450577,64
8192,1024,marlin,1,128,1134122.2748627956,128
8192,1024,marlin,1,256,1127842.2693551485,256
8192,1024,marlin,1,512,1113412.68106571,512
8192,1024,marlin,1,1024,1113520.888237619,1024
8192,1024,marlin,1,2048,1113292.0406758755,2048
8192,1024,marlin,1,4096,1113541.0716535775,4096
8192,1024,marlin,1,8192,1113549.4254943007,8192
